,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Cote d'Ivoire","Cote d'Ivoire","Cote d'Ivoire"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0.1","3.6","2.1"
"HIV/AIDS","2014","0.1","3.6","2.1"
"HIV/AIDS","2013","0.1","4.1","2.5"
"HIV/AIDS","2012","0.1","4.8","2.9"
"HIV/AIDS","2011","0.1","5","3.1"
"HIV/AIDS","2010","0.1","4.9","3.1"
"HIV/AIDS","2009","0.1","5.3","3.3"
"HIV/AIDS","2008","0.1","5.7","3.6"
"HIV/AIDS","2007","0.1","6.9","4.4"
"HIV/AIDS","2006","0.1","7.3","4.7"
"HIV/AIDS","2005","0.1","7.3","4.7"
"HIV/AIDS","2004","0.1","7.4","4.8"
"HIV/AIDS","2003","0.1","7.4","4.9"
"HIV/AIDS","2002","0.1","7.3","4.9"
"HIV/AIDS","2001","0.1","7.4","4.9"
"HIV/AIDS","2000","0.1","7.4","4.9"
"Diarrhoeal diseases","2015","0.6","12.5","7.6"
"Diarrhoeal diseases","2014","0.6","12.6","7.7"
"Diarrhoeal diseases","2013","0.6","12.7","7.9"
"Diarrhoeal diseases","2012","0.7","12.5","7.8"
"Diarrhoeal diseases","2011","0.7","11.9","7.5"
"Diarrhoeal diseases","2010","0.7","11.6","7.4"
"Diarrhoeal diseases","2009","0.7","11","7"
"Diarrhoeal diseases","2008","0.7","9.8","6.4"
"Diarrhoeal diseases","2007","0.8","9.4","6.2"
"Diarrhoeal diseases","2006","0.8","9","6"
"Diarrhoeal diseases","2005","0.8","8.8","5.9"
"Diarrhoeal diseases","2004","0.9","8.6","5.9"
"Diarrhoeal diseases","2003","0.9","8.9","6.1"
"Diarrhoeal diseases","2002","0.9","9.2","6.3"
"Diarrhoeal diseases","2001","0.9","9.7","6.7"
"Diarrhoeal diseases","2000","0.9","10.2","7"
"Pertussis","2015","0.1","1.5","0.9"
"Pertussis","2014","0.1","1.5","0.9"
"Pertussis","2013","0.1","1.5","0.9"
"Pertussis","2012","0.1","1.5","0.9"
"Pertussis","2011","0.1","1.6","1"
"Pertussis","2010","0.1","1.3","0.9"
"Pertussis","2009","0.1","1.3","0.8"
"Pertussis","2008","0.1","1.3","0.8"
"Pertussis","2007","0.1","1.2","0.8"
"Pertussis","2006","0.1","1.2","0.8"
"Pertussis","2005","0.1","1.2","0.8"
"Pertussis","2004","0.1","1.2","0.8"
"Pertussis","2003","0.1","1.1","0.8"
"Pertussis","2002","0.1","1.1","0.8"
"Pertussis","2001","0.1","1.1","0.7"
"Pertussis","2000","0.1","1.1","0.7"
"Tetanus","2015","1.4","0","0.6"
"Tetanus","2014","1.5","0","0.6"
"Tetanus","2013","1.6","0","0.6"
"Tetanus","2012","1.7","0","0.7"
"Tetanus","2011","1.7","0","0.7"
"Tetanus","2010","1.7","0","0.7"
"Tetanus","2009","1.8","0","0.7"
"Tetanus","2008","1.9","0","0.7"
"Tetanus","2007","2.3","0","0.9"
"Tetanus","2006","2.6","0","1"
"Tetanus","2005","2.9","0","1.1"
"Tetanus","2004","3.1","0","1.1"
"Tetanus","2003","3.3","0","1.2"
"Tetanus","2002","3.5","0","1.2"
"Tetanus","2001","3.6","0","1.3"
"Tetanus","2000","3.9","0","1.4"
"Measles","2015","0","0.3","0.2"
"Measles","2014","0","1","0.6"
"Measles","2013","0","0.7","0.4"
"Measles","2012","0","0.5","0.3"
"Measles","2011","0","1.7","1"
"Measles","2010","0","0.9","0.6"
"Measles","2009","0","0.4","0.2"
"Measles","2008","0","0.7","0.4"
"Measles","2007","0","0.4","0.2"
"Measles","2006","0","0.1","0.1"
"Measles","2005","0","1.6","1"
"Measles","2004","0","4.3","2.8"
"Measles","2003","0","5.8","3.8"
"Measles","2002","0","6.7","4.4"
"Measles","2001","0","6.6","4.3"
"Measles","2000","0","6.6","4.3"
"Meningitis/encephalitis","2015","0","3.7","2.1"
"Meningitis/encephalitis","2014","0","3.6","2.1"
"Meningitis/encephalitis","2013","0","3.3","1.9"
"Meningitis/encephalitis","2012","0","3.8","2.3"
"Meningitis/encephalitis","2011","0","2.5","1.5"
"Meningitis/encephalitis","2010","0","2.1","1.3"
"Meningitis/encephalitis","2009","0","2","1.2"
"Meningitis/encephalitis","2008","0","3.7","2.3"
"Meningitis/encephalitis","2007","0","2.2","1.4"
"Meningitis/encephalitis","2006","0","3.2","2"
"Meningitis/encephalitis","2005","0","3","1.9"
"Meningitis/encephalitis","2004","0","2.8","1.8"
"Meningitis/encephalitis","2003","0","1.8","1.2"
"Meningitis/encephalitis","2002","0","1.8","1.2"
"Meningitis/encephalitis","2001","0","1.8","1.2"
"Meningitis/encephalitis","2000","0","1.8","1.2"
"Malaria","2015","0","28.6","16.7"
"Malaria","2014","0","29.8","17.6"
"Malaria","2013","0","31.9","19"
"Malaria","2012","0","34.2","20.6"
"Malaria","2011","0","37.4","22.9"
"Malaria","2010","0","42.7","26.2"
"Malaria","2009","0","47.1","29.1"
"Malaria","2008","0","48.3","30.1"
"Malaria","2007","0","51.8","32.7"
"Malaria","2006","0","53.5","33.9"
"Malaria","2005","0","54.2","34.7"
"Malaria","2004","0","53.3","34.6"
"Malaria","2003","0","52.9","34.6"
"Malaria","2002","0","51.9","34"
"Malaria","2001","0","51.2","33.6"
"Malaria","2000","0","50.2","32.8"
"Acute lower respiratory infections","2015","6.4","20.3","14.5"
"Acute lower respiratory infections","2014","6.4","19.7","14.3"
"Acute lower respiratory infections","2013","6.5","18.6","13.7"
"Acute lower respiratory infections","2012","6.5","17.4","13.1"
"Acute lower respiratory infections","2011","6.5","17","12.9"
"Acute lower respiratory infections","2010","6.5","14.9","11.7"
"Acute lower respiratory infections","2009","6.5","13.8","11"
"Acute lower respiratory infections","2008","6.6","14.5","11.5"
"Acute lower respiratory infections","2007","6.6","13.4","10.9"
"Acute lower respiratory infections","2006","6.7","12.3","10.3"
"Acute lower respiratory infections","2005","6.8","11.5","9.8"
"Acute lower respiratory infections","2004","6.8","10.9","9.5"
"Acute lower respiratory infections","2003","6.8","10.8","9.4"
"Acute lower respiratory infections","2002","6.9","10.7","9.4"
"Acute lower respiratory infections","2001","6.9","10.9","9.5"
"Acute lower respiratory infections","2000","6.9","11.1","9.7"
"Prematurity","2015","31.6","2.3","14.5"
"Prematurity","2014","31.5","2.3","14.3"
"Prematurity","2013","31.4","2.2","14"
"Prematurity","2012","31.3","2.1","13.7"
"Prematurity","2011","31","1.9","13.2"
"Prematurity","2010","30.6","1.8","12.9"
"Prematurity","2009","30.4","1.6","12.6"
"Prematurity","2008","30.6","1.4","12.3"
"Prematurity","2007","31.1","1.3","12.3"
"Prematurity","2006","31.4","1.2","12.2"
"Prematurity","2005","31.3","1.1","12"
"Prematurity","2004","30.9","1","11.5"
"Prematurity","2003","30.7","1","11.3"
"Prematurity","2002","30.5","1","11.2"
"Prematurity","2001","30.4","1","11.1"
"Prematurity","2000","30.6","1","11.2"
"Birth asphyxia and birth trauma","2015","27.5","1.3","12.2"
"Birth asphyxia and birth trauma","2014","27.6","1.2","12"
"Birth asphyxia and birth trauma","2013","27.7","1.2","11.9"
"Birth asphyxia and birth trauma","2012","27.8","1.1","11.7"
"Birth asphyxia and birth trauma","2011","28","1","11.5"
"Birth asphyxia and birth trauma","2010","28","0.9","11.4"
"Birth asphyxia and birth trauma","2009","28","0.9","11.2"
"Birth asphyxia and birth trauma","2008","28","0.7","11"
"Birth asphyxia and birth trauma","2007","28.2","0.7","10.8"
"Birth asphyxia and birth trauma","2006","28.6","0.6","10.9"
"Birth asphyxia and birth trauma","2005","28.9","0.6","10.8"
"Birth asphyxia and birth trauma","2004","29.3","0.5","10.6"
"Birth asphyxia and birth trauma","2003","29.3","0.5","10.5"
"Birth asphyxia and birth trauma","2002","29.4","0.5","10.5"
"Birth asphyxia and birth trauma","2001","29.4","0.5","10.5"
"Birth asphyxia and birth trauma","2000","29.5","0.5","10.5"
"Sepsis and other infectious conditions of the newborn","2015","20.2","0","8.4"
"Sepsis and other infectious conditions of the newborn","2014","20.4","0","8.4"
"Sepsis and other infectious conditions of the newborn","2013","20.4","0","8.2"
"Sepsis and other infectious conditions of the newborn","2012","20.4","0","8.1"
"Sepsis and other infectious conditions of the newborn","2011","20.6","0","8"
"Sepsis and other infectious conditions of the newborn","2010","21.1","0","8.1"
"Sepsis and other infectious conditions of the newborn","2009","21.4","0","8.2"
"Sepsis and other infectious conditions of the newborn","2008","21.1","0","7.9"
"Sepsis and other infectious conditions of the newborn","2007","20.1","0","7.4"
"Sepsis and other infectious conditions of the newborn","2006","19.1","0","7"
"Sepsis and other infectious conditions of the newborn","2005","18.5","0","6.7"
"Sepsis and other infectious conditions of the newborn","2004","18.2","0","6.4"
"Sepsis and other infectious conditions of the newborn","2003","18.2","0","6.3"
"Sepsis and other infectious conditions of the newborn","2002","18.2","0","6.3"
"Sepsis and other infectious conditions of the newborn","2001","18.2","0","6.2"
"Sepsis and other infectious conditions of the newborn","2000","17.8","0","6.1"
"Other communicable, perinatal and nutritional conditions","2015","4.6","11.6","8.7"
"Other communicable, perinatal and nutritional conditions","2014","4.6","11.2","8.5"
"Other communicable, perinatal and nutritional conditions","2013","4.6","10.8","8.3"
"Other communicable, perinatal and nutritional conditions","2012","4.6","10","7.9"
"Other communicable, perinatal and nutritional conditions","2011","4.6","9","7.3"
"Other communicable, perinatal and nutritional conditions","2010","4.7","8.4","7"
"Other communicable, perinatal and nutritional conditions","2009","4.7","7.6","6.5"
"Other communicable, perinatal and nutritional conditions","2008","4.7","6.3","5.7"
"Other communicable, perinatal and nutritional conditions","2007","4.6","5.7","5.3"
"Other communicable, perinatal and nutritional conditions","2006","4.5","5.2","4.9"
"Other communicable, perinatal and nutritional conditions","2005","4.5","4.8","4.7"
"Other communicable, perinatal and nutritional conditions","2004","4.6","4.4","4.5"
"Other communicable, perinatal and nutritional conditions","2003","4.6","4.4","4.5"
"Other communicable, perinatal and nutritional conditions","2002","4.6","4.4","4.5"
"Other communicable, perinatal and nutritional conditions","2001","4.6","4.4","4.5"
"Other communicable, perinatal and nutritional conditions","2000","4.5","4.5","4.5"
"Congenital anomalies","2015","6.5","3.5","4.7"
"Congenital anomalies","2014","6.3","3.3","4.5"
"Congenital anomalies","2013","6.1","3.2","4.4"
"Congenital anomalies","2012","5.9","3","4.2"
"Congenital anomalies","2011","5.7","2.7","3.9"
"Congenital anomalies","2010","5.5","2.6","3.7"
"Congenital anomalies","2009","5.4","2.3","3.5"
"Congenital anomalies","2008","5.2","2","3.2"
"Congenital anomalies","2007","5.1","1.8","3"
"Congenital anomalies","2006","5","1.7","2.9"
"Congenital anomalies","2005","5","1.5","2.8"
"Congenital anomalies","2004","4.9","1.4","2.7"
"Congenital anomalies","2003","4.9","1.4","2.6"
"Congenital anomalies","2002","4.8","1.4","2.6"
"Congenital anomalies","2001","4.8","1.4","2.6"
"Congenital anomalies","2000","4.7","1.5","2.6"
"Other noncommunicable diseases","2015","0.1","4.1","2.4"
"Other noncommunicable diseases","2014","0.1","3.9","2.4"
"Other noncommunicable diseases","2013","0.1","3.8","2.3"
"Other noncommunicable diseases","2012","0.1","3.5","2.2"
"Other noncommunicable diseases","2011","0.1","3.2","2"
"Other noncommunicable diseases","2010","0.1","3","1.9"
"Other noncommunicable diseases","2009","0.1","2.7","1.7"
"Other noncommunicable diseases","2008","0.1","2.2","1.4"
"Other noncommunicable diseases","2007","0.1","2","1.3"
"Other noncommunicable diseases","2006","0.1","1.9","1.2"
"Other noncommunicable diseases","2005","0.1","1.7","1.1"
"Other noncommunicable diseases","2004","0.1","1.6","1.1"
"Other noncommunicable diseases","2003","0.1","1.6","1.1"
"Other noncommunicable diseases","2002","0.1","1.5","1.1"
"Other noncommunicable diseases","2001","0.1","1.6","1.1"
"Other noncommunicable diseases","2000","0.1","1.6","1.1"
"Injuries","2015","0.9","6.7","4.3"
"Injuries","2014","0.9","6.4","4.1"
"Injuries","2013","0.9","6.1","4"
"Injuries","2012","0.9","5.7","3.8"
"Injuries","2011","0.9","5.1","3.5"
"Injuries","2010","0.9","4.7","3.2"
"Injuries","2009","0.9","4.2","3"
"Injuries","2008","0.9","3.5","2.6"
"Injuries","2007","0.9","3.2","2.3"
"Injuries","2006","0.9","2.9","2.2"
"Injuries","2005","0.9","2.7","2"
"Injuries","2004","0.9","2.5","1.9"
"Injuries","2003","0.9","2.4","1.9"
"Injuries","2002","0.9","2.4","1.9"
"Injuries","2001","0.9","2.4","1.9"
"Injuries","2000","0.9","2.4","1.9"
