,,"Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)","Distribution of causes of death among children aged < 5 years (%)"
,,"Benin","Benin","Benin"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","1.5","1.1"
"HIV/AIDS","2014","0","1.5","1"
"HIV/AIDS","2013","0","1.7","1.2"
"HIV/AIDS","2012","0","1.8","1.3"
"HIV/AIDS","2011","0","1.8","1.3"
"HIV/AIDS","2010","0","1.8","1.3"
"HIV/AIDS","2009","0","2","1.4"
"HIV/AIDS","2008","0.1","2.2","1.6"
"HIV/AIDS","2007","0.1","2.4","1.7"
"HIV/AIDS","2006","0.1","2.4","1.7"
"HIV/AIDS","2005","0.1","2.4","1.7"
"HIV/AIDS","2004","0.1","2.3","1.7"
"HIV/AIDS","2003","0.1","2.2","1.6"
"HIV/AIDS","2002","0.1","2.1","1.5"
"HIV/AIDS","2001","0.1","1.9","1.4"
"HIV/AIDS","2000","0.1","1.8","1.4"
"Diarrhoeal diseases","2015","0.4","15.7","10.8"
"Diarrhoeal diseases","2014","0.4","15.9","11.1"
"Diarrhoeal diseases","2013","0.4","16.4","11.4"
"Diarrhoeal diseases","2012","0.4","17","11.9"
"Diarrhoeal diseases","2011","0.5","16.8","11.8"
"Diarrhoeal diseases","2010","0.5","16.4","11.6"
"Diarrhoeal diseases","2009","0.5","16.3","11.6"
"Diarrhoeal diseases","2008","0.5","16.4","11.7"
"Diarrhoeal diseases","2007","0.5","16.7","12"
"Diarrhoeal diseases","2006","0.5","17","12.1"
"Diarrhoeal diseases","2005","0.5","16.5","11.9"
"Diarrhoeal diseases","2004","0.6","16.9","12.2"
"Diarrhoeal diseases","2003","0.6","17.4","12.7"
"Diarrhoeal diseases","2002","0.7","17.9","13.1"
"Diarrhoeal diseases","2001","0.7","17.2","12.9"
"Diarrhoeal diseases","2000","0.7","18.9","14.1"
"Pertussis","2015","0.2","1.4","1"
"Pertussis","2014","0.2","1.3","1"
"Pertussis","2013","0.2","1.4","1"
"Pertussis","2012","0.2","1.4","1"
"Pertussis","2011","0.1","1.3","1"
"Pertussis","2010","0.1","1.3","0.9"
"Pertussis","2009","0.1","1.3","0.9"
"Pertussis","2008","0.1","1.3","0.9"
"Pertussis","2007","0.1","1.3","0.9"
"Pertussis","2006","0.1","1.3","0.9"
"Pertussis","2005","0.1","1.2","0.9"
"Pertussis","2004","0.1","1.2","0.9"
"Pertussis","2003","0.1","1.1","0.9"
"Pertussis","2002","0.1","1.1","0.8"
"Pertussis","2001","0.1","0.9","0.7"
"Pertussis","2000","0.1","0.9","0.7"
"Tetanus","2015","0.7","0","0.2"
"Tetanus","2014","0.7","0","0.2"
"Tetanus","2013","0.8","0","0.2"
"Tetanus","2012","0.8","0","0.2"
"Tetanus","2011","0.8","0","0.3"
"Tetanus","2010","0.8","0","0.3"
"Tetanus","2009","0.8","0","0.3"
"Tetanus","2008","0.9","0","0.3"
"Tetanus","2007","0.9","0","0.3"
"Tetanus","2006","0.9","0","0.3"
"Tetanus","2005","0.9","0","0.3"
"Tetanus","2004","1.1","0","0.3"
"Tetanus","2003","1.2","0","0.4"
"Tetanus","2002","1.4","0","0.4"
"Tetanus","2001","1.5","0","0.4"
"Tetanus","2000","1.5","0","0.4"
"Measles","2015","0","1","0.7"
"Measles","2014","0","2.6","1.8"
"Measles","2013","0","1.9","1.3"
"Measles","2012","0","0.8","0.5"
"Measles","2011","0","2","1.4"
"Measles","2010","0","2.2","1.6"
"Measles","2009","0","3.3","2.3"
"Measles","2008","0","2.4","1.7"
"Measles","2007","0","1.1","0.8"
"Measles","2006","0","0.5","0.3"
"Measles","2005","0","1","0.7"
"Measles","2004","0","0.4","0.3"
"Measles","2003","0","2.1","1.5"
"Measles","2002","0","4","2.9"
"Measles","2001","0","12","8.9"
"Measles","2000","0","9","6.6"
"Meningitis/encephalitis","2015","0","3.6","2.4"
"Meningitis/encephalitis","2014","0","3.5","2.4"
"Meningitis/encephalitis","2013","0","3.6","2.5"
"Meningitis/encephalitis","2012","0","4.2","2.9"
"Meningitis/encephalitis","2011","0","3.3","2.3"
"Meningitis/encephalitis","2010","0","3.7","2.6"
"Meningitis/encephalitis","2009","0","3.5","2.4"
"Meningitis/encephalitis","2008","0","3.4","2.4"
"Meningitis/encephalitis","2007","0","3.3","2.3"
"Meningitis/encephalitis","2006","0","3.3","2.4"
"Meningitis/encephalitis","2005","0","5.8","4.1"
"Meningitis/encephalitis","2004","0","6.6","4.7"
"Meningitis/encephalitis","2003","0","6.6","4.7"
"Meningitis/encephalitis","2002","0","6.5","4.7"
"Meningitis/encephalitis","2001","0","6","4.4"
"Meningitis/encephalitis","2000","0","4.2","3.1"
"Malaria","2015","0","17.1","11.6"
"Malaria","2014","0","17","11.7"
"Malaria","2013","0","17.5","12.1"
"Malaria","2012","0","18.4","12.7"
"Malaria","2011","0","18.9","13.1"
"Malaria","2010","0","19.7","13.8"
"Malaria","2009","0","21.4","15.1"
"Malaria","2008","0","23.6","16.6"
"Malaria","2007","0","26.1","18.4"
"Malaria","2006","0","27.4","19.3"
"Malaria","2005","0","26.1","18.6"
"Malaria","2004","0","24.9","17.7"
"Malaria","2003","0","23.3","16.7"
"Malaria","2002","0","21.9","15.8"
"Malaria","2001","0","19.5","14.4"
"Malaria","2000","0","20.2","14.8"
"Acute lower respiratory infections","2015","5.9","19.9","15.4"
"Acute lower respiratory infections","2014","5.9","19.4","15.2"
"Acute lower respiratory infections","2013","6","19.5","15.3"
"Acute lower respiratory infections","2012","6","18.6","14.7"
"Acute lower respiratory infections","2011","6","20.3","16"
