,,"Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
,,"Mauritania","Mauritania","Mauritania"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","0.9","0.9"
"HIV/AIDS","2014","0","0.9","0.9"
"HIV/AIDS","2013","0","1.1","1.1"
"HIV/AIDS","2012","0","1.1","1.2"
"HIV/AIDS","2011","0","1.2","1.2"
"HIV/AIDS","2010","0","1.2","1.2"
"HIV/AIDS","2009","0","1.2","1.2"
"HIV/AIDS","2008","0","1.2","1.3"
"HIV/AIDS","2007","0","1.3","1.3"
"HIV/AIDS","2006","0","1.3","1.3"
"HIV/AIDS","2005","0","1.3","1.3"
"HIV/AIDS","2004","0","1.3","1.3"
"HIV/AIDS","2003","0","1.3","1.3"
"HIV/AIDS","2002","0","1.2","1.2"
"HIV/AIDS","2001","0","1.2","1.2"
"HIV/AIDS","2000","0","1.1","1.1"
"Diarrhoeal diseases","2015","0.2","8.8","9"
"Diarrhoeal diseases","2014","0.2","9.5","9.7"
"Diarrhoeal diseases","2013","0.2","9.4","9.6"
"Diarrhoeal diseases","2012","0.2","10","10.2"
"Diarrhoeal diseases","2011","0.2","10.6","10.8"
"Diarrhoeal diseases","2010","0.2","11.1","11.3"
"Diarrhoeal diseases","2009","0.3","11.7","12"
"Diarrhoeal diseases","2008","0.3","11.6","11.9"
"Diarrhoeal diseases","2007","0.3","12.3","12.6"
"Diarrhoeal diseases","2006","0.3","13","13.3"
"Diarrhoeal diseases","2005","0.3","13.6","13.9"
"Diarrhoeal diseases","2004","0.3","14.2","14.5"
"Diarrhoeal diseases","2003","0.4","14.6","15"
"Diarrhoeal diseases","2002","0.4","15","15.4"
"Diarrhoeal diseases","2001","0.4","15.3","15.6"
"Diarrhoeal diseases","2000","0.4","15.5","15.9"
"Pertussis","2015","0","1","1"
"Pertussis","2014","0","1","1"
"Pertussis","2013","0","1","1.1"
"Pertussis","2012","0","1.1","1.1"
"Pertussis","2011","0","1.1","1.1"
"Pertussis","2010","0.1","1.1","1.2"
"Pertussis","2009","0.1","1.1","1.2"
"Pertussis","2008","0.1","1.1","1.1"
"Pertussis","2007","0.1","1.1","1.1"
"Pertussis","2006","0.1","1.1","1.1"
"Pertussis","2005","0.1","1.1","1.1"
"Pertussis","2004","0.1","1.1","1.1"
"Pertussis","2003","0","1","1.1"
"Pertussis","2002","0","1","1.1"
"Pertussis","2001","0","1.1","1.2"
"Pertussis","2000","0.1","1.2","1.3"
"Tetanus","2015","0.4","0","0.4"
"Tetanus","2014","0.5","0","0.5"
"Tetanus","2013","0.5","0","0.5"
"Tetanus","2012","0.5","0","0.5"
"Tetanus","2011","0.6","0","0.6"
"Tetanus","2010","0.6","0","0.6"
"Tetanus","2009","0.7","0","0.7"
"Tetanus","2008","0.8","0","0.8"
"Tetanus","2007","0.9","0","0.9"
"Tetanus","2006","1.1","0","1.1"
"Tetanus","2005","1.2","0","1.2"
"Tetanus","2004","1.2","0","1.2"
"Tetanus","2003","1.3","0","1.3"
"Tetanus","2002","1.4","0","1.4"
"Tetanus","2001","1.5","0","1.5"
"Tetanus","2000","1.6","0","1.6"
"Measles","2015","0","1.2","1.2"
"Measles","2014","0","1.2","1.2"
"Measles","2013","0","1.2","1.2"
"Measles","2012","0","0.8","0.8"
"Measles","2011","0","4.1","4.1"
"Measles","2010","0","7.9","7.9"
"Measles","2009","0","2.8","2.8"
"Measles","2008","0","1.5","1.5"
"Measles","2007","0","1.2","1.2"
"Measles","2006","0","0.8","0.8"
"Measles","2005","0","0.1","0.1"
"Measles","2004","0","10","10"
"Measles","2003","0","7.4","7.4"
"Measles","2002","0","7.3","7.3"
"Measles","2001","0","12.9","12.9"
"Measles","2000","0","6.2","6.2"
"Meningitis/encephalitis","2015","0","1.3","1.3"
"Meningitis/encephalitis","2014","0","1.3","1.3"
"Meningitis/encephalitis","2013","0","2","2"
"Meningitis/encephalitis","2012","0","2.1","2.1"
"Meningitis/encephalitis","2011","0","2.2","2.2"
"Meningitis/encephalitis","2010","0","2.3","2.3"
