,,"Deaths per 1 000 live births","Deaths per 1 000 live births","Deaths per 1 000 live births"
,,"Benin","Benin","Benin"
"Cause of death","Year","0-27 days","1-59 months","0-4 years"
"HIV/AIDS","2015","0","1","1"
"HIV/AIDS","2014","0","1.1","1.1"
"HIV/AIDS","2013","0","1.2","1.2"
"HIV/AIDS","2012","0","1.3","1.3"
"HIV/AIDS","2011","0","1.4","1.4"
"HIV/AIDS","2010","0","1.4","1.4"
"HIV/AIDS","2009","0","1.6","1.6"
"HIV/AIDS","2008","0","1.8","1.8"
"HIV/AIDS","2007","0","2","2"
"HIV/AIDS","2006","0","2","2"
"HIV/AIDS","2005","0","2","2.1"
"HIV/AIDS","2004","0","2.1","2.1"
"HIV/AIDS","2003","0","2.1","2.1"
"HIV/AIDS","2002","0","2.1","2.1"
"HIV/AIDS","2001","0","2.1","2.1"
"HIV/AIDS","2000","0","2","2"
"Diarrhoeal diseases","2015","0.1","10.5","10.6"
"Diarrhoeal diseases","2014","0.1","11.2","11.3"
"Diarrhoeal diseases","2013","0.1","11.8","12"
"Diarrhoeal diseases","2012","0.1","12.4","12.6"
"Diarrhoeal diseases","2011","0.2","12.7","12.9"
"Diarrhoeal diseases","2010","0.2","12.8","12.9"
"Diarrhoeal diseases","2009","0.2","13.2","13.3"
"Diarrhoeal diseases","2008","0.2","13.4","13.6"
"Diarrhoeal diseases","2007","0.2","13.8","14"
"Diarrhoeal diseases","2006","0.2","14.3","14.5"
"Diarrhoeal diseases","2005","0.2","14.4","14.6"
"Diarrhoeal diseases","2004","0.2","15.1","15.3"
"Diarrhoeal diseases","2003","0.2","16.3","16.6"
"Diarrhoeal diseases","2002","0.2","17.7","17.9"
"Diarrhoeal diseases","2001","0.3","19","19.3"
"Diarrhoeal diseases","2000","0.3","20.6","20.9"
"Pertussis","2015","0","0.9","1"
"Pertussis","2014","0","0.9","1"
"Pertussis","2013","0","1","1"
"Pertussis","2012","0.1","1","1.1"
"Pertussis","2011","0","1","1.1"
"Pertussis","2010","0","1","1.1"
"Pertussis","2009","0","1","1.1"
"Pertussis","2008","0.1","1","1.1"
"Pertussis","2007","0.1","1","1.1"
"Pertussis","2006","0.1","1.1","1.1"
"Pertussis","2005","0.1","1.1","1.1"
"Pertussis","2004","0.1","1.1","1.1"
"Pertussis","2003","0.1","1.1","1.1"
"Pertussis","2002","0","1","1.1"
"Pertussis","2001","0.1","1","1.1"
"Pertussis","2000","0","1","1.1"
"Tetanus","2015","0.2","0","0.2"
"Tetanus","2014","0.2","0","0.2"
"Tetanus","2013","0.2","0","0.3"
"Tetanus","2012","0.3","0","0.3"
"Tetanus","2011","0.3","0","0.3"
"Tetanus","2010","0.3","0","0.3"
"Tetanus","2009","0.3","0","0.3"
"Tetanus","2008","0.3","0","0.3"
"Tetanus","2007","0.3","0","0.3"
"Tetanus","2006","0.3","0","0.3"
"Tetanus","2005","0.3","0","0.3"
"Tetanus","2004","0.4","0","0.4"
"Tetanus","2003","0.5","0","0.5"
"Tetanus","2002","0.5","0","0.5"
"Tetanus","2001","0.6","0","0.6"
"Tetanus","2000","0.6","0","0.6"
"Measles","2015","0","0.7","0.7"
"Measles","2014","0","1.9","1.9"
"Measles","2013","0","1.4","1.4"
"Measles","2012","0","0.6","0.6"
"Measles","2011","0","1.5","1.5"
"Measles","2010","0","1.7","1.7"
"Measles","2009","0","2.6","2.6"
"Measles","2008","0","2","2"
"Measles","2007","0","0.9","0.9"
"Measles","2006","0","0.4","0.4"
"Measles","2005","0","0.8","0.8"
"Measles","2004","0","0.4","0.4"
"Measles","2003","0","2","2"
"Measles","2002","0","4","4"
"Measles","2001","0","13.3","13.3"
"Measles","2000","0","9.8","9.8"
"Meningitis/encephalitis","2015","0","2.4","2.4"
"Meningitis/encephalitis","2014","0","2.5","2.5"
"Meningitis/encephalitis","2013","0","2.6","2.6"
"Meningitis/encephalitis","2012","0","3.1","3.1"
"Meningitis/encephalitis","2011","0","2.5","2.5"
"Meningitis/encephalitis","2010","0","2.9","2.9"
"Meningitis/encephalitis","2009","0","2.8","2.8"
"Meningitis/encephalitis","2008","0","2.8","2.8"
"Meningitis/encephalitis","2007","0","2.7","2.7"
"Meningitis/encephalitis","2006","0","2.8","2.8"
"Meningitis/encephalitis","2005","0","5","5"
"Meningitis/encephalitis","2004","0","5.9","5.9"
"Meningitis/encephalitis","2003","0","6.1","6.1"
"Meningitis/encephalitis","2002","0","6.4","6.4"
"Meningitis/encephalitis","2001","0","6.6","6.6"
"Meningitis/encephalitis","2000","0","4.6","4.6"
"Malaria","2015","0","11.4","11.4"
"Malaria","2014","0","11.9","11.9"
"Malaria","2013","0","12.6","12.6"
"Malaria","2012","0","13.5","13.5"
"Malaria","2011","0","14.3","14.3"
"Malaria","2010","0","15.4","15.4"
"Malaria","2009","0","17.2","17.2"
"Malaria","2008","0","19.3","19.3"
"Malaria","2007","0","21.5","21.5"
"Malaria","2006","0","23.1","23.1"
"Malaria","2005","0","22.7","22.7"
"Malaria","2004","0","22.2","22.2"
"Malaria","2003","0","21.9","21.9"
"Malaria","2002","0","21.6","21.6"
"Malaria","2001","0","21.5","21.5"
"Malaria","2000","0","22.1","22.1"
"Acute lower respiratory infections","2015","1.9","13.3","15.2"
"Acute lower respiratory infections","2014","1.9","13.7","15.6"
"Acute lower respiratory infections","2013","1.9","14","16"
"Acute lower respiratory infections","2012","2","13.6","15.6"
"Acute lower respiratory infections","2011","2","15.4","17.4"
"Acute lower respiratory infections","2010","2","16.7","18.7"
"Acute lower respiratory infections","2009","2","16.5","18.5"
"Acute lower respiratory infections","2008","2","16.4","18.5"
