country,indicator,value,year
Burkina Faso,Adult Males (15+),38000,2014
Burkina Faso,Female Adults (15+),57000,2014
Burkina Faso,Children (0-14),13000,2014
Cameroon,Adult Males (15+),250000,2014
Cameroon,Female Adults (15+),350000,2014
Cameroon,Children (0-14),58000,2014
Côte d'Ivoire,Adult Males (15+),170000,2014
Côte d'Ivoire,Female Adults (15+),250000,2014
Côte d'Ivoire,Children (0-14),42000,2014
Mauritania,Adult Males (15+),6600,2014
Mauritania,Female Adults (15+),7600,2014
Mauritania,Children (0-14),1800,2014
Niger,Adult Males (15+),18000,2014
Niger,Female Adults (15+),25000,2014
Niger,Children (0-14),,2014
Togo,Adult Males (15+),42000,2014
Togo,Female Adults (15+),60000,2014
Togo,Children (0-14),12000,2014
