country,indicator,value,year
Burkina Faso,MSM HIV Prevalence,3.6,2014
Cameroon,MSM HIV Prevalence,37.2,2012
Côte d'Ivoire,MSM HIV Prevalence,18.8,2012
Mauritania,MSM HIV Prevalence,44.4,2014
Niger,MSM HIV Prevalence,11.5,2013
Togo,MSM HIV Prevalence,19.6,2013
Burkina Faso,FSW HIV Prevalence,16.2,2014
Cameroon,FSW HIV Prevalence,36.9,2012
Côte d'Ivoire,FSW HIV Prevalence,11,2014
Mauritania,FSW HIV Prevalence,4,2014
Niger,FSW HIV Prevalence,17.3,2012
Togo,FSW HIV Prevalence,13.11,2011
