country,indicator,value,year
Burkina Faso, All Ages,43,2014
Cameroon, All Ages,22,2014
Côte d'Ivoire, All Ages,31,2014
Mauritania, All Ages,14,2014
Niger, All Ages,22,2014
Togo, All Ages,33,2014
Burkina Faso, Female Adults (15+),56,2014
Cameroon, Female Adults (15+),28,2014
Côte d'Ivoire, Female Adults (15+),39,2014
Mauritania, Female Adults (15+),15,2014
Niger, Female Adults (15+),27,2014
Togo, Female Adults (15+),41,2014
Burkina Faso, Male Adults (15+),33,2014
Cameroon, Male Adults (15+),16,2014
Côte d'Ivoire, Male Adults (15+),22,2014
Mauritania, Male Adults (15+),15,2014
Niger, Male Adults (15+),22,2014
Togo, Male Adults (15+),24,2014
Burkina Faso,Children (0-14),17,2014
Cameroon,Children (0-14),11,2014
Côte d'Ivoire,Children (0-14),16,2014
Mauritania,Children (0-14),7,2014
Niger,Children (0-14),,2014
Togo,Children (0-14),24,2014
